sr: --skipped--
stamsund_01um: 266 utterances, 3570 original words, 3582 normalized words
stamsund_02uk: 342 utterances, 5529 original words, 5541 normalized words
stamsund_03gm: 365 utterances, 5467 original words, 5481 normalized words
stamsund_04gk: 478 utterances, 7167 original words, 7211 normalized words
stange_02uk: 237 utterances, 4271 original words, 4281 normalized words
stange_03gm: 252 utterances, 6096 original words, 6152 normalized words
stange_06uk: 190 utterances, 2827 original words, 2830 normalized words
stange_07gm: 225 utterances, 3479 original words, 3481 normalized words
stavanger_01um: 294 utterances, 3813 original words, 3817 normalized words
stavanger_02uk: 325 utterances, 3409 original words, 3415 normalized words
stavanger_03gm: 318 utterances, 4490 original words, 4508 normalized words
stavanger_04gk: 267 utterances, 3882 original words, 3948 normalized words
steigen_01um: 167 utterances, 2064 original words, 2070 normalized words
steigen_02uk: 285 utterances, 4373 original words, 4375 normalized words
steigen_03gm: 339 utterances, 5111 original words, 5141 normalized words
steigen_04gk: 343 utterances, 4167 original words, 4177 normalized words
stokkoeya_24: 324 utterances, 3822 original words, 3838 normalized words
stokkoeya_29: 319 utterances, 5051 original words, 5081 normalized words
stokkoeya_31: 190 utterances, 1868 original words, 1874 normalized words
stokkoeya_33: 190 utterances, 1959 original words, 1977 normalized words
stonglandseidet_47: 359 utterances, 6658 original words, 6717 normalized words
stonglandseidet_50: 217 utterances, 3102 original words, 3112 normalized words
stranda_01um: 322 utterances, 4848 original words, 4854 normalized words
stranda_02uk: 248 utterances, 2612 original words, 2636 normalized words
stranda_03gm: 443 utterances, 5088 original words, 5090 normalized words
stranda_04gk: 408 utterances, 4048 original words, 4048 normalized words
stryn_01um: 286 utterances, 3350 original words, 3354 normalized words
stryn_02uk: 312 utterances, 3398 original words, 3432 normalized words
stryn_03gm: 241 utterances, 3506 original words, 3534 normalized words
stryn_04gk: 190 utterances, 2005 original words, 2025 normalized words
suldal_01um: 280 utterances, 3774 original words, 3780 normalized words
suldal_02uk: 295 utterances, 3664 original words, 3692 normalized words
suldal_03gm: 319 utterances, 3178 original words, 3180 normalized words
suldal_04gk: 305 utterances, 3888 original words, 3899 normalized words
surnadal_18: 262 utterances, 4153 original words, 4163 normalized words
surnadal_19: 282 utterances, 4138 original words, 4172 normalized words
surnadal_28: 207 utterances, 1743 original words, 1765 normalized words
surnadal_29: 217 utterances, 1998 original words, 2020 normalized words
sylling_01um: 322 utterances, 3821 original words, 3845 normalized words
sylling_02uk: 351 utterances, 3712 original words, 3752 normalized words
sylling_03gm: 211 utterances, 2860 original words, 2886 normalized words
sylling_04gk: 226 utterances, 3664 original words, 3740 normalized words
ta: --skipped--
tana_01um: 259 utterances, 4700 original words, 4720 normalized words
